@relation 'C__Users_jeimy_OneDrive_School_Classes_CAP4770 Data Mining_DM Project_Project Data'

@attribute text string
@attribute @@class@@ {HS,NonHS}

@data
'326,\"How about a GoFundMe for a few hundred million dollars, to build a wall along the border side of this farm? #BuildTheWall #BuildThatWall #BuildTheDamnWall\"\r\n',HS
'330,\"Here Illegally you are breaking the law!  The laws states you get deported not a choice ! You dont get to come to the U.S Illegally ,feel Entitled Demand to stay , ake jobs from Citizens and steal U.S Resources #Trump #MAGA #SendThemHome Y9c2Uav5dD\"\r\n',HS
'334,\"@Daily_Record I bit my toungue when l heard Syrian refugees complain about Rothsey then again , maybe someone can swop them with a high rise\"\r\n',HS
'336,\"@cscbailey @TechQn @sabine_durden @yinyang9 @HillaryClinton @POTUS 75\% of illegal Aliens commit Felons such as ID, SSN and Welfare Theft Illegal #Immigration is not a Victimless Crime ! TM8Yu8IbcW\"\r\n',HS
'339,@DemingRyan s bio on here says #BuildThatWall\r\n',HS
'345,South Koreans Stand Against Islamic Immigration!!! clDfy5dHyr via @YouTube\r\n',HS
'346,@CaliConsrvative @realDonaldTrump Blood is on the #Democraps hands for sure!! #BuildThatWall\r\n',HS
'347,@RealDonaldTrump Its time to end Obama Illegal #DACA and Stop Rewarding Illegal I#mmigration U.S Youths need #Jobs #AmericansFirst #Trump #MAGA #RedNAtionRising #WalkAway DpAYWcHolj via @voxdotcom\r\n',HS
'349,@FoxNews We need our ARMY down there to #StopTheInvasion!!!WHERE ARE THEY that is More Important than defending our national border against this constant onslaught of hostile foreign invaders?!!?!??!\r\n',HS
'350,@J_VoiceUK Listening to the world service this am criticism of Israel for wanting to deport young African male migrants it maybe evidence from Europe like France and France many are not settling and are turning to crime better the truth than living a lie\r\n',HS
'351,Daily migrant invasions  #migrant #buildthewall #illegal #trespassers #sendthemback QSLuo17CrJ\r\n',HS
'353,Europeans Are Waking Up! | How Even Ordinary People Are Beginning to Take Action Against Immigration - YouTube xU464l93WS\r\n',HS
'355,\"Homes use to look beautiful and full of effort now they are just mass produced to fit the third world \"\"immigrants\"\"\"\r\n',HS
'358,@buzzman888 @Golfinggary5222 .Can you say #BuildThatWall#BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall#BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall#BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall#BuildThatWall #BuildT\r\n',HS
'360,\"@ICEgov GOD BLESS ICE, THANK YOU FOR GETTING ILLEGAL ALIENS OUT OF OUR SOVEREIGN COUNTRY AND OFF OUR STREETS. #NoSanctuaryStates #NoSanctuaryCities #NoDACA #NoAmnesty #NoCommunists #NoSocialism #AmericaFirst #AmericansAreDreamersToo #MAGA #KAG\"\r\n',HS
'362,\"Then no need to even buy your products, no biggie, love our Trump period @potus @realDonaldTrump #BuildTheWall #LockThemUp #EndDACA now !!!!!!!!!!!\"\r\n',HS
'363,Illegal Alien unlicensed Drunk Driver rams Ambulance kills 3 year old being rushed to hospital. #EndDACA #NoAmnesty #EnforceUSLaws#KeepAmericaSafe#DeportThemAll\r\n',HS
'366,\"@louisbeamerboy Good one! “The government predicts that in 2030, immigration will overtake new births as the dominant driver of population growth.�? PREDICTS = causes by failure to stop. #BuildTheDamnWall\"\r\n',HS
'367,@realDonaldTrump We need the wall now Mr. President. Don\'t listen to the lifetime politicians. Listen to your voters and #BuildThatWall\r\n',HS
'368,Algerie send a clear message for refugees. About 400 refugees are leaved in the desert without water today. Its only few time till they will die. This will stop all refugees to try to went over the territory of Republic of Algerie Tsfcv4Shin\r\n',HS
'372,\"@ndrew_lawrence He is 100\% accurate. Diversity is our greatest weakness. Unity is our strength. United we stand, divided we fall. #BuildTheWall #DeportThemAll #StopTheInvasion #AmericaFirst\"\r\n',HS
'373,@RepLowenthal Asylum seekers should enter at a LEGAL #USA port of entry & not enter illegally! Separation only occurs with those breaking American #immigration law! #WakeUp #Democrats to lies & #WalkAway #MAGA #BuildThatWall\r\n',HS
'375,I am all for this!! #BuildThatWall\r\n',HS
'377,\"Say it loud, say it clear, illegal #immigrants are not welcome here x1q9gOzmVZ\"\r\n',HS
'384,@TheEconomist Stop the immigration of all 40 muslimcountries quick.\r\n',HS
'387,.@TheDemocrats .@KamalaHarris .@chuckschumer .@NancyPelosi .@CoryBooker .@Ocasio2018 AMERICANS WANT SAFETY SECURITY FROM ILLEGAL DRUGS GANGS & CRIMINALS 1st#BuildTheDamnWall #BuildThatWall\r\n',HS
'389,\"No wonder so many \"\"refugees\"\" are accused of fraud--it permeates the whole program. n0cKsphw1d\"\r\n',HS
'390,\"@ABCPolitics @ABC The current #GOP #Congress doesn\'t care what #Americans think. Most want Obamacare, most support the Mueller investigation, they don\'t support the tax scam, most want #responsibleguncontrol, most don\'t want to #BuildThatWall. Stop voting\"\r\n',HS
'391,\"Border agent killed, partner injured by illegal immigrants using rocks, report says z3juJvIuXl#OperationBodyCount #PreventableDeath\"\r\n',HS
'392,\"Trump means that immigration to Europe will destroy Europe,hes again right. We alive a new president which makes a good job for USA and European rulers have to be his housedogs and make everything what he like. OO005bPfGk\"\r\n',HS
'395,\"#Dobbs #Budget #Congress #PresidentTrump #Appropriations #BuildThatWall..if as much of the wall is secured, away from Congress, more can be extracted in negotiations for DACA: limiting chain migration, visa lottery, etc., as well as merit-based immigration principles (RAISEact)\"\r\n',HS
'396,100 Bangladeshi Nationals Apprehended near Texas Border in 3 Weeks via @BreitbartNews #NoAmnesty #DeportIllegals #BuildThatWall #TRUMP #MAGA #MASA\r\n',HS
'398,When it gets too hot for life there we should only accept female climate refugees until the regime renounces their patriarchal ways. Otherwise let them roast.\r\n',HS
'399,\"No your not! You are scroungers/soldiers coming to create a caliphate or create chaos. Go home, look after your girlfriends/wives/kids. All fighting age. The last thing you are, are refugees! Bugger off! Bye, bey, cheers.... Mzb4AdRXwh\"\r\n',HS
'401,Easy solution no benefits after child 2 and wife 1 and no votes for 1st and 2nd generation immigrants simple solution.   No combined benefits and no guarantees of jobs or homes unless they apply before arrival NO MORE SOFT TOUCHES ps Gulf States and Saudi intake of \'refugees\' = 0 kkENr9GPph\r\n',HS
'402,\"@eScarry @vdare aldUrQnEcUKathryn Steinle, who was murdered by an illegal Mexican immigrant on July 1, 2015.\"\r\n',HS
'403,\"@CartrettJanel @HMLoeschMcK @realDonaldTrump @SenGillibrand @USBorderSec Solar-powered laser stations along that entire southern border, with live cams, so we can watch the barbecue, is a faster build.Then call it #OperationCookOut#MAGA #QAnon #BuildThatW\"\r\n',HS
'404,Cultural Diversity: The American Culture is fastly becoming the minority culture. But we are the only ones required to take cultural diversity training? No one should be in America without having to learn American Culture. #BuildThatWall #ice #SCOTUS #TrumpRally\r\n',HS
'406,\"You mean, some of the asylum seekers are criminals?! WhaaaaasAAAAAAAAA?! #LiberalLogic #closeborders #deportillegalimmigrants #BuildThatWall\"\r\n',HS
'411,\"@BetterDwelling @KMGVictoria To ignore the role of the immigration invasion and White Genocide in the housing disaster isn\'t just irresponsible, its criminal.HFGW0AGyPikywyK2rg1k\"\r\n',HS
'412,Poland: our country is safe because we haven\'t taken in refugees. - ecnpLoC3SW EkykeoBPJD\r\n',HS
'413,You are right on!  He prefers illegal migrants law breakers to American citizens!  I would NEVER vote for him again! r6quw0AjYo\r\n',HS
'414,\"The same Max Mosley who published a by-election leaflet saying: \"\"Coloured immigration threatens your children\'s health,\"\"  5Uboz1LKdl\"\r\n',HS
'415,\"Sheer racism and bigotry: Israeli lawmaker Oren Hazan on Black African refugee: \"\"they\'re getting married, they have kids. We\'ll stop this... They don\'t even have a culture... You need to destroy the problem when it\'s still small.\"\" #Israel JFgI1y5y4u\"\r\n',HS
'425,\"Fleeing for their lives, migrants trek for the US - TELL YOUR REPS NO MORE REFUGEES OR IMMIGRANTS 7OhXa628WV via @YahooNews\"\r\n',HS
'427,\"Why daily 5000 refugees come from Eritrea ? First they want a better life, second the military service there needs long. They are 80 \% accepted in the EU, which is wrong, because the only can come if they pay 8000 â‚¬ for illigal coorruption help. VWwX7oMZwW\"\r\n',HS
'430,MN: SOMALI MUSLIM IMMIGRANTS Explain Why It\'s Acceptable To Kill Anyone Who Insults Mohammed [VIDEO] pDiVQx40MQ via @100percFEDUP we don\'t worship Mohammed &amp; Sharia! Don\'t like it? Go home or we will deport you!\r\n',HS
'432,@RealDonaldTrump Keep Illegals Lock Up they Broke the Law ! Dont let them infect Aemricans with Diseases #Not1MoreIllegal#Trump #MAGA #Immigration 5rAWBSx8bk\r\n',HS
'433,Immigration gone crazy 100 trainee doctors from abroad what about Nurse Practitioners who are their equivalent get pain peanuts and are trained and come from the UK\r\n',HS
'435,Ridiculous!   Lots of USA citizens don’t even earn that much money while working to try to support themselves.  Refugees need to go Home!!! kKq5lS2aKN\r\n',HS
'436,@gabegutierrez @mitchellreports Iligal refugees should go home with kids.\r\n',HS
'438,Immigrants Come LEGALLY like 1.5 Milion Do Every year Not Cross the Border ILLEGALLY Dont Blame the U.S for Your ILLEGAL ACTIONS !  Aidos !  #Trump #MAGA #RedNAtionRising  lD66vGo2DP via @BreitbartNews\r\n',HS
'440,#BuildThatWall We can\'t afford any more dummies who can\'t make it on their own.\r\n',HS
'444,\"UK: Polish Immigrants Returning Home Cite Fear of Terrorism, Anti-White Racism by Blacks Go2lZCyTCq via @WhiteResister\"\r\n',HS
'448,THE RAPING OF EUROPE BY MUSLIM RAPEFUGEES FROM HELL !!! SWEEDEN IT\'S BEING BETRAYED BY FEMINAZI GOVERNMENT SODOMITES !!! Swedish dentist fired for reporting on refugees patients EE76toBq2a via @YouTube\r\n',HS
'450,\"It is now forbidden in France to say: \'French people first, illegal migrants out\' GvI4k0qQZD\"\r\n',HS
'455,@RealDonaldTrump Stop Wasting Taxpayers Money On Illegal Alien #Immigraiton Programs that Cost $40 Million More! Kill the program and #SendThemBack faster #Trump #MAGA #RedNationRising #GOP\r\n',HS
'457,\"“Spain is becoming the Third World,�? American tourist almost killed by migrants speaks up En4qKBQzRH via @wordpressdotcom\"\r\n',HS
'459,WTF? What are we waiting for? These ppl will be the death of us. #BuildThatWall\r\n',HS
'461,\"2018 the year of the Refugee where France cracks down on immigration ðŸ˜…numbers ,2018 Refugees to get more resources and help in the Uk 2018 Sweden\'s crime rate goes soaring young refugees on the rampage 2018 Greece and Italy still being forced to take in more refugees\"\r\n',HS
'465,\"How far can you push working people ? a Billion to Syrian refugees and tax credits which top up peoples wages cut , our children starve too\"\r\n',HS
'467,DREAMER\' Repeatedly Raped Young Girl In North Carolina via @USIACrimeReport@realDonaldTrump@HouseGOP @SenateGOP#BuildTheWall #DeathPenalty#ChildRape#ProtectUS#KeepAmericaSafe#NoDACA\r\n',HS
'468,@Daily_Express Migrants get here then they phone for the next load to come mobile phones cost not such a thing as a poor migrant with a phon\r\n',HS
'470,@triana922 The fact that they are here illegally makes them criminals -why reward that behavior? Not coming here for Freedom more like the FREE STUFF -If we did not give illeagals FREE STUFF they wouldnt be here #BuildThatWall\r\n',HS
'471,Trump stands with victims of immigrant violence aimxNSgdts\r\n',HS
'472,@MeetThePress Just deport all these illegal aliens and their kids back to their 3rd world nation. #MAGA #BuildTheWall #NoDACA #NoAmnesty #DeportAllOfThem\r\n',HS
'474,\"Your boats shall drown in the Mediterranean Sea and the rest of you, which had not assimilated into our society will leave immediately. #RefugeesNotWelcome #IllegalAliens\"\r\n',HS
'477,@LoriCoutler Wake Up & Prepare to Stop the Evil Dead in it\'s Tracks! #SendThemBack #DeportTheUndesirables #KickOutTheLyers #SaveTheWorldUnderTheOneTrueGod\r\n',HS
'482,@NNetchaeva @realDonaldTrump BUT. I would bet you\'re not looking for facts.  That\'s why you obfuscate.President Trump at NATO: \'Immigration is taking over Europe\'L8Kk9bM0TuThere is more.  And you know it.\r\n',HS
'484,@TOOEdit @realDonaldTrump Have to address LEGAL immigration as well.The racial interests of the majority LONG TERM must be addressed without apology.\r\n',HS
'485,\"MS-13 gang member breaks into Brooklyn, NY 2nd floor apartment and rapes girl. #BuildTheDamnWall #NoAmnesty #NoDACA #IllegalImmigration #IllegalAliens #IllegalAlien #MS13\"\r\n',HS
'492,Angry Italian officials refuse to let this Italian commercial ship disembark 66 refugees &amp; migrants because they think it should have let Libyan coastguards intercept them and return them to inhumane detention centers instead uNNYJ3fc9r 1eojNBA58P\r\n',HS
'493,\"Can anyone answer this question?Why is it OK in this country to make light-hearted, or even offensive comments about Christianity, but similar comments about Islam are considered Islamophobic by the mainstream media?#Burqa #Brexit #bitcoin #immigration #r4today #SaudiArabia\"\r\n',HS
'495,@AnthemRespect The real @potus44 @BarackObama bho & holder also killed @CBP Officer Brian Terry with his #FastandFurious debacle. many others died because of your negligence??#buildthewall#DeportThemAll #NoDACA #NoAmnesty #noworkforEWI\r\n',HS
'498,@GartrellLinda It\'s time we get Americans where they belong. Until there\'s no hunger no Vets on the streets homeless no poor homeless no Mental cases left without help. We don\'t need to import or allow anyone else into our country. #AmericaFirst #NoDACA #\r\n',HS
'499,\"@StanM3 @V_of_Europe No.....really? A refugee? They are here to enrich our cultures, right? I bet ya he\'s older than 17 too....#sendthemback it\'s not late to save Europe\"\r\n',HS
'505,President Obama And #Democrats Illegal Immigration is NOT a Victimless Crime it Cost Taxpayers and lower wages! #WalkAwayFromDemocrats #SaturdayMorning #Trump #MAGA #SendThemBack\r\n',HS
'507,\"@vicedeb @AnnMarieAmerica @FAIRImmigration The 2017 numbers are remarkably low. Previous years have been much higher. The Bush years were INSANE.But even at the *lowest* - 12,000 in a month! - this is definitely an invasion!#StopTheInvasion! #SecuretheBor\"\r\n',HS
'512,ILLEGAL ALIEN CRIMEIs rampant in the first Sanctuary State \'Oregon\'!These statistic are outrageous and should be construed to be a close poll of US states.@SpeakerRyan #NoAmnesty #NoDACA #DeportThemAll #ProtectUSCitizens\r\n',HS
'513,You know how funny it is when an immigrant advocate tells you to go back home just becuase they do not like a conservative immigrants\r\n',HS
'515,\"Illegal immigrants from Bangladesh,Afg r playing havoc in India.High time Mamta&amp;Immigration office take a note,if they have any concern\"\r\n',HS
'516,\"@RepJayapal Families should not bring their kids into a country illegally, would you?  We can’t afford them #sendthemhome\"\r\n',HS
'517,\"@ScotExpress Ruth Davidson ur neither Christian or for the people with ur Brutal welfare cuts , SNP please not we dont want migrants either\"\r\n',HS
'519,Thank You #ICE !! #BuildThatWall !\r\n',HS
'521,@FoxNews @IngrahamAngle @POTUS That’s RIGHT you The MAN #FavoritePresident #BuildTheWall #StopTheInvasion #AmericansFirst One Flag One Country ðŸ‡ºðŸ‡¸\r\n',HS
'522,Stop Illegals from overcrowding  U.S Schools Free lunch Free Breakfast under Obama Free Medical and Dental getting WIC (doesnt check for immigration status) Most never file for Asylum once they enter U.S   #StopAsylumScam #RedNationRising  #Trump #MAGA #SendThemBack ckCdHE4ESK\r\n',HS
'528,\"@OfficeOfRG For God sake,don\'t put India to danger by unchecked Appeasement of ur special community,illegal migrants.NATION is supreme\"\r\n',HS
'533,Glad they saved them. Glad they saved them on THAT side of the border!! #BuildThatWall #NeverVoteDemocratAgain\r\n',HS
'538,\"@SkyNews @LeaveEUOfficial @Stone_SkyNews Why are these illegal immigrant invaders (not migrants) \'desperate\' to get to the UK? Is it to escape the war in France? Or maybe it is to get a free house, free money and freeload from the tax-payer, while Working\"\r\n',HS
'539,@GovMarkDayton Say it loud say it proud refugees NOT welcome here!\r\n',HS
'540,\"#potus must #buildthatwall my first ever msg on Twitter so I hope I\'m doing this right. @real Donald Trump will not ever change or abandon us or #USA that\'s why I will be voting for him AGAIN! Dems and worrying about votes will not change him, POTUS is THE MAN!\"\r\n',HS
'544,\"@TulpaOmega Yes, things need to be done with calm controlled minds, so irreparable mistakes won\'t be made. #BuildThatWall\"\r\n',HS
'551,America wants to #BuildTheWall @SpeakerRyan1st!! #BuildThatWall #America1st\r\n',HS
'552,\"Mexican Cartel Hitman Admits To Killing \"\"More Than 35 Men\"\" Across The U.S. via @USIACrimeReport@realDonaldTrumpWhat more do you need to know?@HouseGOP @SenateGOP#MediaBlackout#BuildTheWall #NoAmnesty #NoDACA #DeportThemAll #KeepAmericansSafe\"\r\n',HS
'556,@bruce_stanton Its no different in Canada folks:  Access to  White people is NOT a human right.It takes twelve Germans to work and pay taxes in order to fund the cost of just one migrant fHqxTeSQ76\r\n',HS
'558,\"FYI @SenMajLdr AND @SpeakerRyan The ONLY REASON you 2 have a job is #WeThePeople VOTED for @realDonaldTrump to #BuildThatWall!! IF you 2 are so incompetent you cannot complete a mandate for the President of YOUR OWN PARTY, YOU 2 need to #WalkAway!\"\r\n',HS
'559,\"Edmonton attacker identified as 30yo Somali refugee Abdulahi Hasan Sharif, was known to police- CHThis is my shocked face. ðŸ˜®Ed.\"\r\n',HS
'560,@Daily_Express Sharia Law for student Loans why do they not put it on London Buses or have their own police force invite migrants to join\r\n',HS
'561,@welt @E_Hunyadi Das sind kein FlÃ¼gtlinger !!!Its Illegal Immigration ....#sendthemback\r\n',HS
'563,Our country is doomed if #Illegals vote! #BuildThatWall #VoterID #VoteRepublican2018\r\n',HS
'567,@BGallozzi @BlackLove247 Liberals always calling people racists because they dont believe in Open borders and illegal  #Immigration that hurts American workers ! Liberals are Anti American and Anti Americans !  Dancing on the grave of Dead Americans kille\r\n',HS
'568,Why should American taxpayers have to support illegal people? It is not our responsibility!#Deport#BuildThatWall\r\n',HS
'569,Don’t distribute them across Spain ( Europe) send them back to Morocco where they came from #migrants  nR0wjgh1PM\r\n',HS
'575,@merdrignac I have a tweet from a Swede who quotes me our country will never be the same again after Immigration neighbour hoods set alite\r\n',HS
'577,\"@dsaTradWife @FuFubar1 @Supermomandwif1 @JesseWooten18 @AnnCoulter #BuildThatWall to end #Corruption and then deport, deport, and deport.\"\r\n',HS
'579,How long will it take for Cinco de Mayo to become a national holiday and the 4th of July to become a day of mournful remembrance?#ImmigrationInvasion #StopTheGreatReplacement #StopTheInvasion #Immigration #SecureTheBorder #NoDACA #NoAmnesty #BuildTheWall #RedWave #RedWaveRising\r\n',HS
'581,@RealDonaldTrump @HouseGOP  #NoDACA without Mandatory E-Verify you are not ending ILLEGAL #Immigration You are REWARDING iLLEGALS #NoAmnesty #KeepFamiliesTogether IS DEPORT ALL ILLEGAL FAMILIES TOGETHER #Trump  #MAGA  #RedNationRising rSJqSLM\r\n',HS
'583,\"@itn_news what did we learn by Greenland leaving the EU no immigration no rapes , violence , or meddling fools imposing rules ,brave 2\"\r\n',HS
'586,\"The person on the left was an innocent American child, murdered needlessly! The person on the right is an ILLEGAL ALIEN who needlessly murdered the innocent American child on the left! #BuildItNow #BuildThatWall\"\r\n',HS
'589,\"He is the new enemy (H.Kickl, minister of interior) of the left comunistic-socialist-green groups which make business with refugees. He will do everything to bring refugees out of Austria, this disturb the business. GHLzERJ0Mj\"\r\n',HS
'590,Democrats Are Not On Americas SideThey Want Open Borders And Illegal Aliens To Keep Pouring InAND WE GET TO PAY FOR THEM Nearly Half of Swing District Voters Want Illegal Alien Families Deported Together to Their Countries#BuildThatWall #MAGA\r\n',HS
'591,Economic growth via immigration shifts wealth from young people towards older people by flooding market with cheap foreign labor. It spikes profits &amp; stocks by cutting salaries for manual &amp; skilled labor offered by blue-collar and white-collar employees eRsjOpu1hw\r\n',HS
'601,#Burundi Burundian refugees should go home! Ox9TwxanIo\r\n',HS
'603,Ill-legal migration isÂ invasion K0ha15WBSr\r\n',HS
'604,\"DREAMER\' Shot Man To Death In Road-Rage Incident, Bragged About It On Facebook @realDonaldTrump @HouseGOP @SenateGOP#BuildTheWall #EndDACA #NoAmnesty #DeportThemAllThis fight over Illegal Aliens Rights has created an entitled behavior!\"\r\n',HS
'607,#StandwithICE #BackTheBlue #BuildThatWall Time to send the vacationing illegals back where they came from and start focusing on OUR dreamers! #DACAisWACA #SendThemBack\r\n',HS
